date,lat,lon,zone,deaths,confirmed
203,-7.1547,-78.5108,1,457.0,19359.0
203,-8.1,-79.0306,1,2192.0,28157.0
203,-6.7669,-79.8506,1,1672.0,25741.0
203,-3.7481,-73.2442,1,945.0,18405.0
203,-5.1525,-80.6578,1,1941.0,34555.0
203,-6.0347,-76.9742,1,696.0,17204.0
203,-3.5711,-80.4592,1,299.0,7122.0
204,-6.2294,-77.8728,1,213.0,14471.0
204,-7.1547,-78.5108,1,460.0,19484.0
204,-8.1,-79.0306,1,2198.0,28432.0
204,-6.7669,-79.8506,1,1676.0,25897.0
204,-3.7481,-73.2442,1,945.0,18572.0
204,-5.1525,-80.6578,1,1944.0,34685.0
204,-6.0347,-76.9742,1,697.0,17366.0
204,-3.5711,-80.4592,1,299.0,7201.0
205,-6.2294,-77.8728,1,213.0,14605.0
205,-7.1547,-78.5108,1,465.0,19576.0
205,-8.1,-79.0306,1,2201.0,28643.0
205,-6.7669,-79.8506,1,1678.0,26060.0
205,-3.7481,-73.2442,1,947.0,18764.0
205,-5.1525,-80.6578,1,1950.0,34890.0
205,-6.0347,-76.9742,1,697.0,17502.0
205,-3.5711,-80.4592,1,300.0,7273.0
206,-6.2294,-77.8728,1,213.0,14675.0
206,-7.1547,-78.5108,1,468.0,19652.0
206,-8.1,-79.0306,1,2202.0,28811.0
206,-6.7669,-79.8506,1,1679.0,26189.0
206,-3.7481,-73.2442,1,947.0,18872.0
206,-5.1525,-80.6578,1,1952.0,35032.0
206,-6.0347,-76.9742,1,699.0,17598.0
206,-3.5711,-80.4592,1,301.0,7291.0
207,-6.2294,-77.8728,1,213.0,14769.0
207,-7.1547,-78.5108,1,470.0,19751.0
207,-8.1,-79.0306,1,2206.0,28893.0
207,-6.7669,-79.8506,1,1686.0,26238.0
207,-3.7481,-73.2442,1,947.0,19020.0
207,-5.1525,-80.6578,1,1954.0,35136.0
207,-6.0347,-76.9742,1,699.0,17745.0
207,-3.5711,-80.4592,1,301.0,7311.0
208,-6.2294,-77.8728,1,213.0,14804.0
208,-7.1547,-78.5108,1,471.0,19899.0
208,-8.1,-79.0306,1,2208.0,29060.0
208,-6.7669,-79.8506,1,1688.0,26291.0
208,-3.7481,-73.2442,1,949.0,19208.0
208,-5.1525,-80.6578,1,1957.0,35195.0
208,-6.0347,-76.9742,1,701.0,17886.0
208,-3.5711,-80.4592,1,301.0,7333.0
209,-6.2294,-77.8728,1,213.0,14920.0
209,-7.1547,-78.5108,1,472.0,20017.0
209,-8.1,-79.0306,1,2208.0,29201.0
209,-6.7669,-79.8506,1,1691.0,26379.0
209,-3.7481,-73.2442,1,949.0,19260.0
209,-5.1525,-80.6578,1,1958.0,35285.0
209,-6.0347,-76.9742,1,704.0,18044.0
209,-3.5711,-80.4592,1,301.0,7394.0
210,-6.2294,-77.8728,1,213.0,15095.0
210,-7.1547,-78.5108,1,473.0,20086.0
210,-8.1,-79.0306,1,2209.0,29327.0
210,-6.7669,-79.8506,1,1691.0,26455.0
210,-3.7481,-73.2442,1,950.0,19330.0
210,-5.1525,-80.6578,1,1963.0,35469.0
210,-6.0347,-76.9742,1,704.0,18155.0
210,-3.5711,-80.4592,1,301.0,7423.0
212,-6.2294,-77.8728,1,214.0,15282.0
212,-7.1547,-78.5108,1,476.0,20253.0
212,-8.1,-79.0306,1,2217.0,29530.0
212,-6.7669,-79.8506,1,1694.0,26591.0
212,-3.7481,-73.2442,1,951.0,19518.0
212,-5.1525,-80.6578,1,1973.0,35735.0
212,-6.0347,-76.9742,1,706.0,18369.0
212,-3.5711,-80.4592,1,303.0,7469.0
213,-6.2294,-77.8728,1,215.0,15312.0
213,-7.1547,-78.5108,1,478.0,20301.0
213,-8.1,-79.0306,1,2222.0,29588.0
213,-6.7669,-79.8506,1,1695.0,26608.0
213,-3.7481,-73.2442,1,951.0,19527.0
213,-5.1525,-80.6578,1,1975.0,35809.0
213,-6.0347,-76.9742,1,706.0,18393.0
213,-3.5711,-80.4592,1,303.0,7478.0
214,-6.2294,-77.8728,1,215.0,15376.0
214,-7.1547,-78.5108,1,484.0,20367.0
214,-8.1,-79.0306,1,2223.0,29694.0
214,-6.7669,-79.8506,1,1702.0,26674.0
214,-3.7481,-73.2442,1,954.0,19674.0
214,-5.1525,-80.6578,1,1975.0,35927.0
214,-6.0347,-76.9742,1,706.0,18483.0
214,-3.5711,-80.4592,1,303.0,7494.0
215,-6.2294,-77.8728,1,216.0,15452.0
215,-7.1547,-78.5108,1,484.0,20471.0
215,-8.1,-79.0306,1,2228.0,29805.0
215,-6.7669,-79.8506,1,1707.0,26708.0
215,-3.7481,-73.2442,1,955.0,19783.0
215,-5.1525,-80.6578,1,1978.0,36028.0
215,-6.0347,-76.9742,1,708.0,18592.0
215,-3.5711,-80.4592,1,303.0,7509.0
216,-6.2294,-77.8728,1,216.0,15539.0
216,-7.1547,-78.5108,1,487.0,20533.0
216,-8.1,-79.0306,1,2230.0,29862.0
216,-6.7669,-79.8506,1,1711.0,26783.0
216,-3.7481,-73.2442,1,955.0,19857.0
216,-5.1525,-80.6578,1,1982.0,36135.0
216,-6.0347,-76.9742,1,709.0,18675.0
216,-3.5711,-80.4592,1,305.0,7528.0
217,-6.2294,-77.8728,1,217.0,15602.0
217,-7.1547,-78.5108,1,489.0,20638.0
217,-8.1,-79.0306,1,2233.0,30032.0
217,-6.7669,-79.8506,1,1713.0,26851.0
217,-3.7481,-73.2442,1,956.0,20005.0
217,-5.1525,-80.6578,1,1986.0,36299.0
217,-6.0347,-76.9742,1,710.0,18899.0
217,-3.5711,-80.4592,1,305.0,7565.0
218,-6.2294,-77.8728,1,217.0,15613.0
218,-7.1547,-78.5108,1,489.0,20704.0
218,-8.1,-79.0306,1,2234.0,30155.0
218,-6.7669,-79.8506,1,1719.0,26895.0
218,-3.7481,-73.2442,1,957.0,20065.0
218,-5.1525,-80.6578,1,1987.0,36445.0
218,-6.0347,-76.9742,1,713.0,18993.0
218,-3.5711,-80.4592,1,305.0,7601.0
219,-6.2294,-77.8728,1,217.0,15630.0
219,-7.1547,-78.5108,1,491.0,20787.0
219,-8.1,-79.0306,1,2235.0,30283.0
219,-6.7669,-79.8506,1,1723.0,26969.0
219,-3.7481,-73.2442,1,957.0,20193.0
219,-5.1525,-80.6578,1,1989.0,36648.0
219,-6.0347,-76.9742,1,715.0,19187.0
219,-3.5711,-80.4592,1,305.0,7636.0
220,-6.2294,-77.8728,1,217.0,15642.0
220,-7.1547,-78.5108,1,491.0,20833.0
220,-8.1,-79.0306,1,2237.0,30397.0
220,-6.7669,-79.8506,1,1724.0,27028.0
220,-3.7481,-73.2442,1,958.0,20252.0
220,-5.1525,-80.6578,1,1992.0,36714.0
220,-6.0347,-76.9742,1,715.0,19277.0
220,-3.5711,-80.4592,1,305.0,7648.0
221,-6.2294,-77.8728,1,218.0,15665.0
221,-7.1547,-78.5108,1,493.0,20917.0
