date,region,region_orig,deaths,confirmed
41,SAN MARTIN,SAN MARTIN,1.0,47.0
41,TUMBES,TUMBES,10.0,85.0
41,UCAYALI,UCAYALI,2.0,49.0
42,ANCASH,ANCASH,13.0,189.0
42,AREQUIPA,AREQUIPA,5.0,134.0
42,CAJAMARCA,CAJAMARCA,2.0,38.0
42,CALLAO,CALLAO,27.0,1080.0
42,CUSCO,CUSCO,3.0,112.0
42,HUANCAVELICA,HUANCAVELICA,1.0,17.0
42,ICA,ICA,2.0,119.0
42,JUNIN,JUNIN,1.0,101.0
42,LA LIBERTAD,LA LIBERTAD,16.0,194.0
42,LAMBAYEQUE,LAMBAYEQUE,63.0,600.0
42,LIMA,LIMA,129.0,9793.0
42,LORETO,LORETO,10.0,431.0
42,PIURA,PIURA,15.0,264.0
42,SAN MARTIN,SAN MARTIN,1.0,49.0
42,TUMBES,TUMBES,10.0,86.0
42,UCAYALI,UCAYALI,2.0,56.0
43,ANCASH,ANCASH,13.0,217.0
43,AREQUIPA,AREQUIPA,5.0,146.0
43,CAJAMARCA,CAJAMARCA,2.0,52.0
43,CALLAO,CALLAO,34.0,1180.0
43,CUSCO,CUSCO,3.0,123.0
43,HUANCAVELICA,HUANCAVELICA,1.0,18.0
43,ICA,ICA,6.0,124.0
43,JUNIN,JUNIN,1.0,130.0
43,LA LIBERTAD,LA LIBERTAD,16.0,211.0
43,LAMBAYEQUE,LAMBAYEQUE,75.0,642.0
43,LIMA,LIMA,144.0,10234.0
43,LORETO,LORETO,10.0,485.0
43,PIURA,PIURA,24.0,344.0
43,SAN MARTIN,SAN MARTIN,1.0,81.0
43,TUMBES,TUMBES,10.0,86.0
43,UCAYALI,UCAYALI,3.0,73.0
44,ANCASH,ANCASH,16.0,251.0
44,AREQUIPA,AREQUIPA,5.0,192.0
44,CAJAMARCA,CAJAMARCA,2.0,61.0
44,CALLAO,CALLAO,34.0,1239.0
44,CUSCO,CUSCO,3.0,130.0
44,HUANCAVELICA,HUANCAVELICA,1.0,20.0
44,ICA,ICA,6.0,141.0
44,JUNIN,JUNIN,1.0,150.0
44,LA LIBERTAD,LA LIBERTAD,17.0,232.0
44,LAMBAYEQUE,LAMBAYEQUE,81.0,671.0
44,LIMA,LIMA,169.0,10877.0
44,LORETO,LORETO,14.0,552.0
44,PIURA,PIURA,37.0,420.0
44,SAN MARTIN,SAN MARTIN,1.0,94.0
44,TUMBES,TUMBES,10.0,183.0
44,UCAYALI,UCAYALI,3.0,97.0
45,ANCASH,ANCASH,19.0,275.0
45,AREQUIPA,AREQUIPA,8.0,229.0
45,CAJAMARCA,CAJAMARCA,2.0,62.0
45,CALLAO,CALLAO,35.0,1282.0
45,CUSCO,CUSCO,3.0,130.0
45,HUANCAVELICA,HUANCAVELICA,1.0,21.0
45,ICA,ICA,6.0,145.0
45,JUNIN,JUNIN,1.0,155.0
45,LA LIBERTAD,LA LIBERTAD,17.0,253.0
45,LAMBAYEQUE,LAMBAYEQUE,89.0,675.0
45,LIMA,LIMA,199.0,11297.0
45,LORETO,LORETO,14.0,585.0
45,PIURA,PIURA,37.0,436.0
45,SAN MARTIN,SAN MARTIN,1.0,94.0
45,TUMBES,TUMBES,10.0,184.0
